personId,countryXName,countryYName,startDate,durationDays
7590,Chile,New_Zealand,2011-08-01T00:00:00+00:00,20
15393162791499,Slovenia,Poland,2012-10-07T00:00:00+00:00,14
4398046518031,Colombia,Turkey,2012-11-29T00:00:00+00:00,30
8796093030509,Madagascar,Hungary,2012-04-20T00:00:00+00:00,8
21990232562968,Italy,Philippines,2012-10-28T00:00:00+00:00,30
35184372099039,Republic_of_Ireland,Peru,2012-08-11T00:00:00+00:00,13
4398046521378,India,Netherlands,2012-11-06T00:00:00+00:00,16
10995116280964,India,Northern_Ireland,2012-08-05T00:00:00+00:00,17
4688,Oman,Czech_Republic,2011-11-13T00:00:00+00:00,30
30786325586630,Vietnam,Iran,2012-12-15T00:00:00+00:00,28
